"label","text","label_text"
0,"afariAl Thx 4 Re-Tweeting VIDEO #NY23 AD http://tinyurl.com/yjvazsd Club4Growth SLAMS 2 Liberals Owens + RINO Dede #levin","non-political"
1,"RT @lotfan The son of advisor to #Iran's defeated conservative presidential candidate Mohsen Rezaie was killed in prison http://bit.ly/tKbU6","political"
1,"Just when we needed another conservative voice: http://www.politico.com/news/stories/0809/26220.html #tcot #novak","political"
1,"wow. Premier Wen talked about Adam Smith's ""Invisible Hand"". A little weird coming from one of the top brass of Socialist China","political"
1,"RT @KenShepherd: Today Chris Matthews was lamenting how libertarian-friendly the public sentiment is coming, particularly on gun rights.","political"
1,"Communist Obama uses people to push his communist agenda in the background!!! http://obamaisabitch.wordpress.com/","political"
1,"@prognosys And guess what? It's wrong. You're such a mindless shill that you can't even tell right from wrong. Typical liberal hypocrite...","political"
1,"Liberal Smash: A Jackson, Mississippi Update: On July 6, 2009, Jackson shall welcome back the former Mayor Harve.. http://tinyurl.com/kkg4g6","political"
1,"RT @southsalem O holding yr life/lives of loved ones in Chicago socialist Rationing/Death Panel Hands - No time 2 B Polite #JoeWilson #tcot","political"
1,"2 @CalebHowe Others think he's the anti-Christ. That's why liberals tend to get butts kicked in policy, we're NOT one-minded enough!","political"
1,"RT @StumpReport: Unfortunately, 4 not only the American ppl but the world, R newly elected President, as it seems, is a closet Socialist.","political"
0," @dailyobamajokes: Why is the liberal drug of choice LSD? They can spell it.","non-political"
1,"Tomorrow night I guess we're going to have to educate the #p2 crowd that Jesus was NOT a liberal #tcot #ocra #sgp","political"
1,"Jessie Jackson the mouth piece for douchebag liberals","political"
1,"RT @JakopDalunde: ponders how anybody can be conservative in a civilization headed for destruction.","political"
1,"RT @velvethammer RT @SamiShamieh It's clear now Obama has more respect 4terrorists than Americans who oppose his socialist agenda. #tcot","political"
1,"RT @ResistTyranny: McCain STILL doesn't understand why he lost! Endorsed a liberal in #NY23 race #gopFAIL #tcot HAD NOTHIN 2 DO W BUSH HUH?","political"
0,"F, Math for Liberal Arts and Pre-Cal here transfer to UT but not College Algebra... the class I'm taking. I'm retarded.","non-political"
0," @HarvardResearch Exhibit of Czech secret-police photos from the Communist era shows Big Brother as unintentional artist http://ow.ly/IgIs","non-political"
1,"Conservative Party Leader Repeats Labourâ€™s Afghanistan Lie : The British National Party http://bit.ly/1BQtY","political"
1,"RT #dvd493 Conservatives now outnumber liberals in all 50 States, says gallup poll... http://www.cnsnews.com/news...","political"
1,"rt @1txsage1957 Glenn Beck Sees a Communist Under Every Rock | Video | AlterNet http://ff.im/9XUiA\\ and the slugs who are related to him...","political"
1,"Better dead than Red! RT @Ladymoves Should a communist be adviseing our president? Because there is. *pHg*","political"
0,"didn't realize why the NHS was trending until I read Digg today about Stephen Hawking. Schadenfreude. Conservatives. Oy. #welovethenhs","non-political"
1,"RT @iRevolt: ""A conservative is a man who is too cowardly to fight and too fat to run."" -Elbert Hubbard #tcot","political"
0," Times: 36 Hours in Madison, WI, liberal college town w/ ""a spirited reality all its own."" Oh Madison, how I miss you: http://bit.ly/bniB4","non-political"
1,"Political Stereotypes: Conservatives - Pompous and Arrogant; Liberals - Smarmy and Arrogant.","political"
1,"@jarichmond what a joke. I mean we all know the dems are the socialists.","political"
1,"Meet the New Boss ... RT @TWI_news Civil Libertarians Dismayed by Patriot Amendments? http://bit.ly/2aoqEt","political"
1,"Socialism tomorrow? RT @stellargirl77 What is so bad about socialism anyway?","political"
1,"That's Czary! RT @tuansenangbesar Komunis and communism is 2 different things. If you haven't read economic history.","political"
1,"@LiberalTheory article by Albert Einstein, ""Why Socialism"" written in 1949, http://wattpad.com/1026. u might want to rethink ur avatar","political"
0,"sha just won the Progressive House Award at this years DJ Awards!","non-political"
1,"Liberals are stupid and you can't fix stupid!","political"
1,"PAKISATAN:BEGINNING OF IDPS RETURN FROM SINDH HAS BELIED NATIONALISTS STANCE http://is.gd/1VSuk","political"
0,"in us in 30 minutes for the Common Man Common Sense Episode 11 on #BlogTalkRadio - http://tobtr.com/s/623465 #tcot #conservative #teaparty","non-political"
1,"The Bible is apparently too liberalâ€¦. : Delaware Liberal http://bit.ly/H0k6M","political"
1,"Senate unable to reach newer deal on paying for medical care of fat liberal slobs unwilling to exercise, Al Franken named Hot Thong Czar.","political"
1,"@auctioneerist so sorry for your loss. :( I wanted to DM you, but cannot (?) - nice to know there are other conservatives in SF.","political"
1,"RT @LPIN: LPIN Podcast: 035 Ron Cenkush is first Libertarian Indiana House candidate, for 2010. http://lpin.org/node/761 #IN","political"
1,"TX Gov. Perry: â€œThis is an administration hell-bent on taking America towards a socialist country.â€ http://is.gd/4TsEI","political"
1,"@pizano3 and again, I'm not just putting it out on the conservative blowhards, but we gotta start injecting reason into our own points 1st.","political"
0," @colocelt: Such a gorgeous conservative!!!!!!!!!!! Mmmmmmmwah!!!!!","non-political"
0,"love360 You're delusional, and have still provided NO EVIDENCE. I'm honestly wondering if this is a racial/nationalist issue for you.","non-political"
1,"RT @glenngreenwald Revealing how conservatives hate tort & anti-discrimination laws... when used by others, not themselves http://tr.im/FaL9","political"
0,"apartofmylife LOL - I'm in Mass. & half my family is liberal.","non-political"
1,".@plomlompom Im liberalen Sinne heisst liberal nicht nur liberal: http://bit.ly/3xsRCN","political"
1,"#Obama has recruited some of the most radical liberal ideologues imaginable http://bit.ly/Rtx5i #tcot #tlot #beck #healthcare #iamthemob","political"
1,"RT@johnmcmahon Colorado Progressive Voice: Iran,2 interviews, ACORN, missile defense, climate change, Afghanistan + more!-http://is.gd/3JBcM","political"
0,"ly shit, I've gotten emails from just about every person imaginable since deciding to track down Captain Anna's 80s Zed feminist past...","non-political"
1,"I wonder where the conservatives will store all of those Sarah Palin books they purchased to create the big bestseller lie? Suggestions?","political"
0,"agunB Have you heard of ""Hatesong"" and ""Trains"" from ""Procupine Tree""? Not Psychedelic, they are Progressive. But they truly rock!","non-political"
1,"Thank you!! #tcot #tlot #cleansweep #patriot RT @esser1999: notallysonschwartz.com ...conservatives opposing Rep Allyson Schwartz D","political"
1,"RT @monikarempel: Breitbart bringing down Acorn, Hollywood liberals & embarrassing MSM http://bit.ly/2YcOmg Let truth reign! #tlot #ocra","political"
1,"2 of my faves. RT @1txsage1957 Naomi Klein Interviews Michael Moore on the Perils of Capitalism http://is.gd/3Frtb","political"
1,"Liberals claim to want to give a hearing to other views, but then are shocked and offended to discover that there are other views. - WFB","political"
1,"@VetsOnTheWatch Libs must hate it when conservatives take their ad-hominems and use them as proud monikers to show who we are.","political"
0,"en I've had a stupid day, I should get a free back rub. I guess that makes me a socialist!","non-political"
1,"RT @RollinsWallace: Hrtlnd GOPers as cn by the Elitist Liberals of both parties: ""Men of Constant Sorrow""until 2010 â™« http://blip.fm/~ciqoj","political"
1,"Why, because it is not socialist enough? RT @foxnewspolitics: White House Considers Drafting Its Own Health Reform Bill http://ow.ly/o9wB","political"
0," @GloriousYou ""We are here to change, grow, develop and unfold. We are progressive beings that have infinite capacity"" â€“ Beckwith","non-political"
1,"The Daily Capitalist: Cash for Clunkers = Cash for Unions: A bit of reality therapy might be in order for you Je.. http://bit.ly/4EDBb","political"
1,"Greg Combet still appealing to Liberal Senators to vote for the #cprs","political"
1,"The PACIFIC GATE POST: â€¢ Government vs. Capitalism http://bit.ly/E5d7E","political"
1,"@harterm04 what the hell do u know about communism","political"
1,"OMG GOP WTF?! Heard the latest conservative claptrap? Take quiz to benefit lefty org & get the sticker http://bit.ly/yz8wE #p2 #noisemachine","political"
1,"RT @Johnny_Doggs: Liberals, Shut ur mouth! Real American's marching on DC today. Do like ur leader and go hide! #tcot #teaparty #912","political"
1,"@ohjaycee haha are all your subs on marxism and communism?","political"
1,"#follow2010 My lovely friend, @SunnyStokes Sweet. Beautiful. Freethinking. Liberal. >smooch<","political"
1,"correction for 2nites show. Kit Lang at PL 4 Lobby. Come chat energy bill, obama, liberalism, downfail of US. http://bit.ly/juBF4 Express","political"
1,"Liberals only believe n free speech when they r the ones speaking. They criticize conservatives cause it reflects libs immorality.","political"
1,"@julie_posetti That's because Minchin is really a zombie. My evil plan to infiltrate the Liberal party went wrong and now they... AAGGHH!","political"
1,"@gilcarvr Not all libertarians. Many recognize the need for national security.","political"
1,"Day-old copies of Cuba's Communist Party paper resold for next to nothing to use as toilet paper. Finally the gov't gets something right!","political"
1,"how are you planning to spend the socialist holiday? http://bit.ly/p3ebG","political"
0," @civlee RT @ValisProject : RT @happyhomeshop : RT @cupcakes5 : @GreenRoomPro @Florzinhaa_ @anarchists @civlee @expensiveguy @officialtila","non-political"
1,"Sigh.Of course the liberal chimes in.. If you think something like that is nasty , ur "" homophobic"" or "" not open minded"". @prettipancakes","political"
1,"RT http://bit.ly/vQF7J BlessedRPEACE MAKERS4TheyShalBtheChildrenofGod-NonViolenceDEMOSvs. AntiChrist Obama Anarchists","political"
1,"Poll: 8 in 10 Back Public Option http://bit.ly/kuPp3 Interesting: apparently 61% of Republicans are Socialists","political"
1,"Evil Conservative Radio: Cap and Trade: What a Great Way to ...: search engine marketing Â· Website Traffic - Web.. http://bit.ly/4bZ6Wp","political"
0,"t Quotes online from Geico, Progressive, Nationwide Auto Insurance, And Many More all one website. http://tinyurl.com/y8ngda9","non-political"
1,"thinking on how much of a socialist, liberal commi I am.","political"
1,"Disunity could mean the federal wing of the Liberal Party spends years in the wilderness, Opposition frontbencher T http://t.love.com/25 ...","political"
1,"Socialism tomorrow? RT @amsiriano Why is it that nearly every time I meet someone who is dubiously disabled, that person is a socialist?","political"
0,"nture capitalists! Opportunity to buy the best link shortening service. RT @Cligs Shutdown Plans on Hold http://cl.gs/Esu39","non-political"
1,"#Digg this: Socialists: Big Losers in German Vote - Merkel Wins http://digg.com/u1DDBd #digguser [RT]","political"
1,"More ""solutions"" from these idiots are the last thing I need. #tcot #hcr #libertarian #killthebill #tweetcongress","political"
1,"Don't be CCCP RT @24space48 ""Democrats Healthcare Bill"": ""The Superhighway to SOCIALISM""","political"
1,"Sen. Ted Kennedy: Liberal Lion of the Senate and champion of #LGBT rights: http://bit.ly/11pSjx","political"
1,"@joygreenmcgann Communism the Idiealation of the community , Capitalism the idealalation of Capitalisng and Power","political"
1,"RT @matttbastard: A socialist-feminist take on Dr Tiller's murder & what the #prochoice movement's next move should be http://bit.ly/1ELQC","political"
1,"On Your Marx RT @kplo Communist consumer goods make comeback: http://su.pr/8sczfi","political"
1,"Commies R here! RT @slowsnail30 Soon Slovenia will come back into very similar to Communist regime.","political"
0,"laware Liberal: This About Says It http://tinyurl.com/kr28af","non-political"
1,"RT @randomsubu: Hey Republicans+Conservatives: You gave the world George W Bush. So forgive me if I don't give a s*** about your opinion ...","political"
0,"@KEVINLORIGO You really can't use the webster definition to describe western Europe, which is highly socialist.","non-political"
1,"Let's fight to disband all public schools! That's socialism and we can't have it in this country!","political"
1,"The Conservative Party | News | News | Spelman condemns stealth ... http://u.mavrev.com/uj14","political"
1,"Socialism: A Hate Story http://bit.ly/q5B1S (excellent article on the respect we all should have for capitalism)","political"
1,"I hate the BNP with every drop of conservative blood in my body :D","political"
1,"Important polling. http://bit.ly/svPqb This means a lot of self-identified conservatives and moderates are voting dem.","political"
0,"ogressive Starts Plan To Aid Insurance Agents' Online Sales http://ow.ly/15KTWc","non-political"
1,"reading as a collective act under the fundamental values and principles of revolutionary socialism http://tinyurl.com/nkp65g","political"
1,"@_THEMUSE_ i mean it depends on the issue. its some things i'm liberal on and its some things i'm conservative on.","political"
1,"Conservative Womens Calendar: For those who like their gals batshit crazy.http://su.pr/2NSI1e","political"
0,"chiali, buone notizie per i presbiti: Basta bifocali o progressive. Il brevetto di un fisico Usa dopo 20 anni .. http://bit.ly/dRecI","non-political"
1,"Communists!! RT @billcity I may just write my Critical Eng theory essay on a reflection of Socialism. It'd be more effective for my prof.","political"
1,"oh thats bunch of bull, leader of honduras was LEGALLY removed and no such violations took place. Why cant socialists of the world accept??","political"
0,"nny: Late Night Video â€” Funny Mashup Edition! : Delaware Liberal http://bit.ly/BdDZR","non-political"
1,"@pierski individuals have equal chances and it's up to them to make it. That's what people don't get. They throw around socialism without","political"
1,"At least there one progressive issue in our election process RT @TorontoStar: Elections Canada backs online voting http://bit.ly/S5bXh","political"
1,"RT @huffingtonpost Reese Schonfeld: Cable News Ratings--Liberals Jump Ship http://bit.ly/PkuM2 l #glenn beck","political"
1,"Southeastern Ohio Conservative Thoughts: Voinovich right on gambling: And I do believe he would raise taxes rath.. http://bit.ly/nQ51T","political"
1,"RT @readCHARLIE Promote progressive culture in #chs: Tell someone new about CHARLIE today www.readcharlie.com","political"
1,"Where is the gay rights movement going, and should libertarians follow? http://bit.ly/14ES3N","political"
1,"@RabidApe Because you didn't write the original line you sent. You cut and pasted it. I have MANY liberal friends. You couldn't be one #tcot","political"
0,"beral President Alfred Apps spoke to our riding association Wed.night. Story & pictures here http://tinyurl.com/l3yq77","non-political"
1,"RT @tonysharon04 @resistance09 Ive been infected w/PATRIOTIC FLU and I am SICK of ur socialist government reforms. STOP NOW! #teaparty #gop","political"
1,"Cash for Clunkers may be good for auto insurers including GEICO and Progressive: http://bit.ly/tl8Ns","political"
1,"#g20 dirty filthy capitalist hippies getting a good shower today i hear. i wonder if the greed and greenwashing will wash off...?","political"
1,"the terms liberal and conservative are so divisive. Just more words to hide behind: http://bit.ly/Ey8AS","political"
1,"If conservatives had anything larger than a pea for a brain, they'd fact check the lie-filled emails they receive on HC reform. #iamthemob","political"
1,"...the hell did I start watching lectures on polycentric legal systems? if you're interested in anarchist delights http://vimeo.com/7577646","political"
1,"Feminism and the Economy http://bit.ly/JkBB4","political"
1,"Blog Post: A Liberal's Hit List: Boise & Olsen to go After 'Yes on 8' Campaign http://ow.ly/15LB6z","political"
1,"Those ""freedom-loving"" conservatives also want to control what you read, watch and smoke. @setv","political"
1,"How do win an argument with a conservative? You can't. They refuse to look at the evidence and make a rational decision.","political"
1,"#inafreeworld people would stop trying to turn the USA into a socialist country bc they would care about personal responsibility","political"
1,"Attention TV Talking Heads. Barack Obama and Bill Clinton are not liberals. The middle of the road is not the left!","political"
1,"New England Republican: Fat Cats: The running dogs ofÂ  rapacious, hyper-competitive capitalism might be chastene.. http://bit.ly/dQb0p","political"
1,"Socialism is nationalization of industry - bailouts = nationalization and back door to single payer = nationalization @moecephus","political"
1,"I can understand how liberal Democrats feel about OBAMA forsaking their values, the same happened to conservative Republicans under BUSH.","political"
1,"CIA Interrogation investigation - Liberal healthcare distraction, attempt to revive anti-Bush anti-Republican rhetoric, and just plain dumb","political"
1,"Pt 1, Building Blocks of Socialism http://bit.ly/sE4Pj #tcot #libertarian #iamthemob #palin #sgp #grizzly #hhrs #tpp #tnmn #gop #fishy","political"
1,"And the musical chairs approach to leadership is on display again in the Liberal Party. Who will be sitting when the music stops?","political"
1,"ben nelson feeling pressure, responds via ad. good work progressives http://bit.ly/1sTtIs","political"
0,"wBlue: Josh on JJ and NFL Socialism - http://tinyurl.com/lstgnz","non-political"
1,"RT @WayneMarr SSRN Political Liberalism, Islamic Family Law and Family Law Pluralism: Lessons from New York on Family... http://bit.ly/e95ke","political"
1,"I don't want socialized medicine, and I don't want to live in a socialist country, screamed the woman on the .. http://bit.ly/xTf2Q","political"
1,"[French Government to Charge Tourists Who Need Rescuing] How long before this becomes an ""I Hate Socialism"" Thread? http://blogged.com/r/1us","political"
1,"Libertarian freedom activist forcibly hospitalized and drugged http://bit.ly/y5rwg","political"
1,"Show your support for the Party with a flag tattoo: Chinese blogger Fuck the World has a communist flag tattoo t.. http://bit.ly/Hvwa2","political"
1,"Woman who said ""We are not feminists"" at Ã‰cole Polytechnique in 1989 says today, ""Of course I was a feminist"" http://bit.ly/5gQmMC #fem2","political"
1,"Socialism tomorrow? RT @bullshtr Stupid in the new - Van Jones, White House Green Czar (Washington Times): http://bit.ly/prlgk","political"
0," @x5gtrn Progressive Houseã®DJ Mixã‚’ã¤ãã‚Šã¾ã—ãŸï¼è‰¯ã‹ã£ãŸã‚‰è´ã„ã¦ãã ã•ã„ã€‚ãƒ€ã‚¦ãƒ³ãƒ­ãƒ¼ãƒ‰ã‚‚ã§ãã¾ã™ã€‚ï¼ˆãŸã¶ã‚“åº¦ã€…å®£ä¼ã—ã¾ã™â€¦ï¼‰http://tiny.cc/cKv90","non-political"
1,"Huckabee Revs Up Conservative Crowd - New York Times - http://tinyurl.com/yeb99kx","political"
1,"Glad to hear that the Socialist bank bailout STARTED by George Bush and continued by Obama seems to have worked.","political"
1,"The 8-point 'Goldman Socialist Manifesto' - FOXBusiness http://url4.eu/AqEX","political"
1,"RT @glennbeck OLIGARH? Really? You are so predictable... don't miss the open. // He left out the 'C' for Communism.","political"
1,"Pravda http://bit.ly/2t9Z4E America Moving from Kingdom of Cash to Socialism Slowly but Surely #tcot #congress #hc09","political"
1,"RT: @rodolfob: Data from the CIA Factbook. Comparing the ""BAD"" Communists:CUBA with the ""GOOD"" Capitalists: USA #Honduras","political"
0,"am very sad I'll be missing the fun at Sigma Nu. The call of capitalism is a cruel one.","non-political"
1,"RT @Cynicor: Sometime MSNBC guest, pro assface Frank Gaffney: Obama is Muslim Am, communist, Hitler too. http://bit.ly/y0J7Z /WTF #p2 #tcot","political"
1,"Alert!: Some people are planning for a revolution in the USA. STOP this Marxist and communist trends.","political"
1,"The Constitutional Side Of The Health Care Reform Bill http://bit.ly/7HYZQZ #conservative #hcr #iamthemob #gop","political"
1,"Every once in a while, I can still be surprised. @yaronusa is an intelligent conservative who doesn't resort to insults to make a point.","political"
1,"RT @ExurbanJon Sen. Boxer's ""Dress for Redress"": A conservative's guide to proper protest attire http://tinyurl.com/mxarku #tcot #obamacare","political"
1,"RT: @stone_circle: Conservatives Battle Obama's Cult of Learning http://bit.ly/1XhC9j","political"
0,"straga tudo, enterra tudo, pÃ¡ de cal enterra todos na vala comum de um discurso [neo]liberal~ http://3.ly/0ci","non-political"
1,"Teehee, I love the Socialist Party, and their pathetic attempts to get me to buy their ickle newspaper.","political"
1,"Why can't we change this? RT@feminismtoday Women in academia (especially) can't have it all #feminism http://bit.ly/1530HQ","political"
1,"Most unheard of RT @alea_ Socialist US senator proposes most capitalist bill http://bit.ly/1BOqhq","political"
