"","label","text","label_text"
"27",1,"Feminism Is Key To 'Making Of A Slave' http://ur1.ca/f3lo","political"
"28",1,"RT @Mickeleh: Who has healthcare leverage in Dem. Cong. Caucusâ€”Blue Dogs or the progressives? Good analysis from mcjoan http://bit.ly/4uCx6b","political"
"29",1,"STAND UP FOR BECK:RT @organicsgrow P&G 513-983-1100 Progressive Christy 440-395-0135 Coleen 937-865-1624 here r #s 2 call that dropped ads","political"
"30",1,"RT @SmartGirlNation New article:Is there room in the Republican tent for conservatives? http://tinyurl.com/ygux6cj @mkhammer @karlrove #tcot","political"
"31",1,"There are no barriers between us (men vs women), Miss Venezuela? Really? I'm no hardcore feminist, but that's a little naive of her.","political"
"32",1,"rt rt rt rt Video: Walter Cronkite In Defense of Liberalism: http://bit.ly/YLxVp (via @amadril @EileenLeft).. http://tinyurl.com/mcm8wl [RT]","political"
"33",0,"hate Flo from the Progressive commercials. So fkn annoying.","non-political"
"34",1,"The new capitalism http://bit.ly/2OJcfG #capitalism #socent","political"
"35",1,"The Underground Conservative: Al-CNN Tries Smearing 9/12 As â€¦: 5 â€¦ 4 â€¦ 3 â€¦ 2 â€¦ 1 â€¦.. http://bit.ly/WWN4M","political"
"36",1,"Reds under beds! RT @JaanKyle @nelsontejada oh hell yeah he was, racist as all hell. and socialist","political"
"37",1,"RT @kasons4: @stunetii Are you frickin kidding me. <<<looney liberal>>>> #tcot #912 #iamthemob. Look, More right wing name calling","political"
"38",0,"parently, British twitterers are flocking to defend the NHS with #welovethenhs hashtag. Brainwashed socialists.","non-political"
"39",0,"am listening to the Tea Time with Toni No Bologny show by Socialist Squirrel on #BlogTalkRadio - http://tobtr.com/s/632863","non-political"
"40",1,"The Sonoran Alliance: Tom Horneâ€™s liberal record: As the political prospects of Superintendent of Public Instruc.. http://bit.ly/xRoRD","political"
"41",1,"OK the Republican party (Socialism Lite) is not standing up for the Constitution. They want to implement their plan.. NO PLAN! Jeez..","political"
"42",1,"I thought conservatives we're champions of personal responsibility, the crux of this msg. Maybe they just hate the messenger? #hypocrisy","political"
"44",0,"r order at Amazon: The Art of Not Being Governed: An Anarchist History of Upland Southeast Asia (Yale Agrarian Â£16.50 http://omani.ac/97g","non-political"
"45",1,"@AmandaCarpenter I think Conservatives owe Glenn Beck a major debt, certainly the GOP that sat on their hands and were johnny come lately.","political"
"46",0,"e Good Communist: Elite Training and State Building in Today's China - by Frank N. Pieke - Cambridge University Press. http://j.mp/6BuZW0","non-political"
"48",0,"just took the ""What does your hair say about you?"" quiz and got: Conservative! Try it: http://bit.ly/hYyVJ #lolquiz","non-political"
"49",1,"But, of course, the 50m uninsured who might be saved by such reform represent a voiceless minority, silent in a conservative shadow...","political"
"51",1,"Is the ""C"" in ""C Street"" for ""Christian Conservative"" or ""Cultlike?"" http://bit.ly/RQjpT","political"
"52",1,"St. Pete Times known for liberal media bias; has a ""slobbering love affair"" w/ Obama Do I need 2 cancel my sub? Is USAToday any better???","political"
"54",0,"nator Ted Kennedy , the indefatigable liberal icon has died http://is.gd/2z4wh","non-political"
"55",1,"Kristin Schall from the Socialist Party USA live on AndrewAndrew SoundSound www.evr.com! Listen Live!","political"
"56",1,"Big Government Obamaâ€™s Anti-Capitalist Policies Are Anti-Job and Therefore Anti-Recovery http://ow.ly/164qCr","political"
"59",0,"tp://soundclick.com/share?songid=8518764 Collapse is Number 4 in all of metal on soundclick! It's number 1 in Progressive metal!","non-political"
"60",1,"A conservative Rev Wright. http://ow.ly/pQ9n","political"
"63",1,"Portugal's Socrates looks for coalition partners: Portugal's ruling Socialist government has begun preparing fo.. http://bit.ly/WboiE","political"
"65",1,"A polarized, divided, two party system is unsustainable. Not working. Whatever the conservatives say is immediately discredited.","political"
"67",1,"BTW Libs... the Hitler/Obama comparison=BOTH ARE SOCIALISTS. Has nothing to do with genocide. B. Frank doesn't get it! http://bit.ly/aHCA2","political"
"68",1,"Why I'm A Conservative Republican this old but it's still great http://bit.ly/di5j1","political"
"70",1,"When liberals protest it's the highest form of patriotism. When conservatives protest it's ""manufactured anger"". CNN ...you're stupid.","political"
"71",1,"RT @IBDeditorials: Socialism died and was reincarnated as environmentalism. http://bit.ly/4PrC2W","political"
"72",1,"What is it about the Liberal mind that compels it to attack the messenger rather than the message? Methinks a lack of facts and evidence!","political"
"73",1,"RT@BPTBlogWhite House Characterizes Debate over Socialism as Longstanding American History - Bill Wilson http://bit.ly/sqogY","political"
"75",1,"Christians struggling in captive nations.....believers still dying at the hands of atheist communists","political"
"76",1,"RT @Austinstumpff Fear Of A Black President: Conservative Media Drumming Up Racial Fear http://bit.ly/OfWda #birthers #racism","political"
"77",0,"stnations @anarchists @ChinaBroker @UYGHURS Thanks for retweeting the Ainu booklet giveaway. http://bit.ly/3KA43e","non-political"
"78",1,"An example of not being political correctness is yelling from the rooftops : OBAMA IS A COMMUNIST! It's true so YELL it!","political"
"79",0,"imonech I'm generally liberal in deleting those no@no.com comments if they aren't constructive.","non-political"
"80",1,"ElBaradei?s Swan Song #libertarian http://bit.ly/Gv28q","political"
"81",1,"I think Ron Paul is the spokesman for libertarians and no1 can surpass that","political"
"82",1,"Crooks Catching Crooks #libertarian http://bit.ly/oqsWH","political"
"83",1,"Just Say NO to ObamaCare & Socialism http://bit.ly/IpYGS @NancyPelosi @bacaca43 @repjohnbarrow @KarlRove #tweetcongress","political"
"86",1,"Just when we needed another conservative voice: http://www.politico.com/news/stories/0809/26220.html #tcot #novak","political"
"87",1,"wow. Premier Wen talked about Adam Smith's ""Invisible Hand"". A little weird coming from one of the top brass of Socialist China","political"
"88",1,"RT @KenShepherd: Today Chris Matthews was lamenting how libertarian-friendly the public sentiment is coming, particularly on gun rights.","political"
"89",1,"Communist Obama uses people to push his communist agenda in the background!!! http://obamaisabitch.wordpress.com/","political"
"90",1,"@prognosys And guess what? It's wrong. You're such a mindless shill that you can't even tell right from wrong. Typical liberal hypocrite...","political"
"92",1,"RT @southsalem O holding yr life/lives of loved ones in Chicago socialist Rationing/Death Panel Hands - No time 2 B Polite #JoeWilson #tcot","political"
"94",1,"RT @StumpReport: Unfortunately, 4 not only the American ppl but the world, R newly elected President, as it seems, is a closet Socialist.","political"
"95",0," @dailyobamajokes: Why is the liberal drug of choice LSD? They can spell it.","non-political"
"96",1,"Tomorrow night I guess we're going to have to educate the #p2 crowd that Jesus was NOT a liberal #tcot #ocra #sgp","political"
"97",1,"Jessie Jackson the mouth piece for douchebag liberals","political"
"99",1,"RT @velvethammer RT @SamiShamieh It's clear now Obama has more respect 4terrorists than Americans who oppose his socialist agenda. #tcot","political"
"100",1,"RT @ResistTyranny: McCain STILL doesn't understand why he lost! Endorsed a liberal in #NY23 race #gopFAIL #tcot HAD NOTHIN 2 DO W BUSH HUH?","political"
"102",0," @HarvardResearch Exhibit of Czech secret-police photos from the Communist era shows Big Brother as unintentional artist http://ow.ly/IgIs","non-political"
"103",1,"Conservative Party Leader Repeats Labourâ€™s Afghanistan Lie : The British National Party http://bit.ly/1BQtY","political"
"104",1,"RT #dvd493 Conservatives now outnumber liberals in all 50 States, says gallup poll... http://www.cnsnews.com/news...","political"
"107",0,"didn't realize why the NHS was trending until I read Digg today about Stephen Hawking. Schadenfreude. Conservatives. Oy. #welovethenhs","non-political"
"108",1,"RT @iRevolt: ""A conservative is a man who is too cowardly to fight and too fat to run."" -Elbert Hubbard #tcot","political"
"112",1,"Meet the New Boss ... RT @TWI_news Civil Libertarians Dismayed by Patriot Amendments? http://bit.ly/2aoqEt","political"
"114",1,"That's Czary! RT @tuansenangbesar Komunis and communism is 2 different things. If you haven't read economic history.","political"
"117",1,"Liberals are stupid and you can't fix stupid!","political"
"118",1,"PAKISATAN:BEGINNING OF IDPS RETURN FROM SINDH HAS BELIED NATIONALISTS STANCE http://is.gd/1VSuk","political"
"120",1,"The Bible is apparently too liberalâ€¦. : Delaware Liberal http://bit.ly/H0k6M","political"
"121",1,"Senate unable to reach newer deal on paying for medical care of fat liberal slobs unwilling to exercise, Al Franken named Hot Thong Czar.","political"
"122",1,"@auctioneerist so sorry for your loss. :( I wanted to DM you, but cannot (?) - nice to know there are other conservatives in SF.","political"
"123",1,"RT @LPIN: LPIN Podcast: 035 Ron Cenkush is first Libertarian Indiana House candidate, for 2010. http://lpin.org/node/761 #IN","political"
"124",1,"TX Gov. Perry: â€œThis is an administration hell-bent on taking America towards a socialist country.â€ http://is.gd/4TsEI","political"
"125",1,"@pizano3 and again, I'm not just putting it out on the conservative blowhards, but we gotta start injecting reason into our own points 1st.","political"
"127",0,"love360 You're delusional, and have still provided NO EVIDENCE. I'm honestly wondering if this is a racial/nationalist issue for you.","non-political"
"131",1,"#Obama has recruited some of the most radical liberal ideologues imaginable http://bit.ly/Rtx5i #tcot #tlot #beck #healthcare #iamthemob","political"
"132",1,"RT@johnmcmahon Colorado Progressive Voice: Iran,2 interviews, ACORN, missile defense, climate change, Afghanistan + more!-http://is.gd/3JBcM","political"
"133",0,"ly shit, I've gotten emails from just about every person imaginable since deciding to track down Captain Anna's 80s Zed feminist past...","non-political"
"134",1,"I wonder where the conservatives will store all of those Sarah Palin books they purchased to create the big bestseller lie? Suggestions?","political"
"136",1,"Thank you!! #tcot #tlot #cleansweep #patriot RT @esser1999: notallysonschwartz.com ...conservatives opposing Rep Allyson Schwartz D","political"
"137",1,"RT @monikarempel: Breitbart bringing down Acorn, Hollywood liberals & embarrassing MSM http://bit.ly/2YcOmg Let truth reign! #tlot #ocra","political"
"138",1,"2 of my faves. RT @1txsage1957 Naomi Klein Interviews Michael Moore on the Perils of Capitalism http://is.gd/3Frtb","political"
"139",1,"Liberals claim to want to give a hearing to other views, but then are shocked and offended to discover that there are other views. - WFB","political"
"140",1,"@VetsOnTheWatch Libs must hate it when conservatives take their ad-hominems and use them as proud monikers to show who we are.","political"
"141",0,"en I've had a stupid day, I should get a free back rub. I guess that makes me a socialist!","non-political"
"142",1,"RT @RollinsWallace: Hrtlnd GOPers as cn by the Elitist Liberals of both parties: ""Men of Constant Sorrow""until 2010 â™« http://blip.fm/~ciqoj","political"
"143",1,"Why, because it is not socialist enough? RT @foxnewspolitics: White House Considers Drafting Its Own Health Reform Bill http://ow.ly/o9wB","political"
"144",0," @GloriousYou ""We are here to change, grow, develop and unfold. We are progressive beings that have infinite capacity"" â€“ Beckwith","non-political"
"147",1,"The PACIFIC GATE POST: â€¢ Government vs. Capitalism http://bit.ly/E5d7E","political"
"148",1,"@harterm04 what the hell do u know about communism","political"
"149",1,"OMG GOP WTF?! Heard the latest conservative claptrap? Take quiz to benefit lefty org & get the sticker http://bit.ly/yz8wE #p2 #noisemachine","political"
"150",1,"RT @Johnny_Doggs: Liberals, Shut ur mouth! Real American's marching on DC today. Do like ur leader and go hide! #tcot #teaparty #912","political"
"151",1,"@ohjaycee haha are all your subs on marxism and communism?","political"
"152",1,"#follow2010 My lovely friend, @SunnyStokes Sweet. Beautiful. Freethinking. Liberal. >smooch<","political"
"153",1,"correction for 2nites show. Kit Lang at PL 4 Lobby. Come chat energy bill, obama, liberalism, downfail of US. http://bit.ly/juBF4 Express","political"
"154",1,"Liberals only believe n free speech when they r the ones speaking. They criticize conservatives cause it reflects libs immorality.","political"
"155",1,"@julie_posetti That's because Minchin is really a zombie. My evil plan to infiltrate the Liberal party went wrong and now they... AAGGHH!","political"
"158",1,"how are you planning to spend the socialist holiday? http://bit.ly/p3ebG","political"
"159",0," @civlee RT @ValisProject : RT @happyhomeshop : RT @cupcakes5 : @GreenRoomPro @Florzinhaa_ @anarchists @civlee @expensiveguy @officialtila","non-political"
"160",1,"Sigh.Of course the liberal chimes in.. If you think something like that is nasty , ur "" homophobic"" or "" not open minded"". @prettipancakes","political"
"161",1,"RT http://bit.ly/vQF7J BlessedRPEACE MAKERS4TheyShalBtheChildrenofGod-NonViolenceDEMOSvs. AntiChrist Obama Anarchists","political"
"162",1,"Poll: 8 in 10 Back Public Option http://bit.ly/kuPp3 Interesting: apparently 61% of Republicans are Socialists","political"
"163",1,"Evil Conservative Radio: Cap and Trade: What a Great Way to ...: search engine marketing Â· Website Traffic - Web.. http://bit.ly/4bZ6Wp","political"
"164",0,"t Quotes online from Geico, Progressive, Nationwide Auto Insurance, And Many More all one website. http://tinyurl.com/y8ngda9","non-political"
"165",1,"thinking on how much of a socialist, liberal commi I am.","political"
"166",1,"Disunity could mean the federal wing of the Liberal Party spends years in the wilderness, Opposition frontbencher T http://t.love.com/25 ...","political"
"167",1,"Socialism tomorrow? RT @amsiriano Why is it that nearly every time I meet someone who is dubiously disabled, that person is a socialist?","political"
"169",1,"#Digg this: Socialists: Big Losers in German Vote - Merkel Wins http://digg.com/u1DDBd #digguser [RT]","political"
"170",1,"More ""solutions"" from these idiots are the last thing I need. #tcot #hcr #libertarian #killthebill #tweetcongress","political"
"171",1,"Don't be CCCP RT @24space48 ""Democrats Healthcare Bill"": ""The Superhighway to SOCIALISM""","political"
"172",1,"Sen. Ted Kennedy: Liberal Lion of the Senate and champion of #LGBT rights: http://bit.ly/11pSjx","political"
"173",1,"@joygreenmcgann Communism the Idiealation of the community , Capitalism the idealalation of Capitalisng and Power","political"
"175",1,"On Your Marx RT @kplo Communist consumer goods make comeback: http://su.pr/8sczfi","political"
"176",1,"Commies R here! RT @slowsnail30 Soon Slovenia will come back into very similar to Communist regime.","political"
"178",1,"RT @randomsubu: Hey Republicans+Conservatives: You gave the world George W Bush. So forgive me if I don't give a s*** about your opinion ...","political"
"179",0,"@KEVINLORIGO You really can't use the webster definition to describe western Europe, which is highly socialist.","non-political"
"180",1,"Let's fight to disband all public schools! That's socialism and we can't have it in this country!","political"
"181",1,"The Conservative Party | News | News | Spelman condemns stealth ... http://u.mavrev.com/uj14","political"
"182",1,"Socialism: A Hate Story http://bit.ly/q5B1S (excellent article on the respect we all should have for capitalism)","political"
"183",1,"I hate the BNP with every drop of conservative blood in my body :D","political"
"184",1,"Important polling. http://bit.ly/svPqb This means a lot of self-identified conservatives and moderates are voting dem.","political"
"185",0,"ogressive Starts Plan To Aid Insurance Agents' Online Sales http://ow.ly/15KTWc","non-political"
"186",1,"reading as a collective act under the fundamental values and principles of revolutionary socialism http://tinyurl.com/nkp65g","political"
"187",1,"@_THEMUSE_ i mean it depends on the issue. its some things i'm liberal on and its some things i'm conservative on.","political"
"191",1,"oh thats bunch of bull, leader of honduras was LEGALLY removed and no such violations took place. Why cant socialists of the world accept??","political"
"192",0,"nny: Late Night Video â€” Funny Mashup Edition! : Delaware Liberal http://bit.ly/BdDZR","non-political"
"193",1,"@pierski individuals have equal chances and it's up to them to make it. That's what people don't get. They throw around socialism without","political"
"194",1,"At least there one progressive issue in our election process RT @TorontoStar: Elections Canada backs online voting http://bit.ly/S5bXh","political"
"195",1,"RT @huffingtonpost Reese Schonfeld: Cable News Ratings--Liberals Jump Ship http://bit.ly/PkuM2 l #glenn beck","political"
"197",1,"RT @readCHARLIE Promote progressive culture in #chs: Tell someone new about CHARLIE today www.readcharlie.com","political"
"198",1,"Where is the gay rights movement going, and should libertarians follow? http://bit.ly/14ES3N","political"
"199",1,"@RabidApe Because you didn't write the original line you sent. You cut and pasted it. I have MANY liberal friends. You couldn't be one #tcot","political"
"200",0,"beral President Alfred Apps spoke to our riding association Wed.night. Story & pictures here http://tinyurl.com/l3yq77","non-political"
"201",1,"RT @tonysharon04 @resistance09 Ive been infected w/PATRIOTIC FLU and I am SICK of ur socialist government reforms. STOP NOW! #teaparty #gop","political"
"202",1,"Cash for Clunkers may be good for auto insurers including GEICO and Progressive: http://bit.ly/tl8Ns","political"
"203",1,"#g20 dirty filthy capitalist hippies getting a good shower today i hear. i wonder if the greed and greenwashing will wash off...?","political"
"204",1,"the terms liberal and conservative are so divisive. Just more words to hide behind: http://bit.ly/Ey8AS","political"
"206",1,"...the hell did I start watching lectures on polycentric legal systems? if you're interested in anarchist delights http://vimeo.com/7577646","political"
"207",1,"Feminism and the Economy http://bit.ly/JkBB4","political"
"209",1,"Those ""freedom-loving"" conservatives also want to control what you read, watch and smoke. @setv","political"
"211",1,"#inafreeworld people would stop trying to turn the USA into a socialist country bc they would care about personal responsibility","political"
"212",1,"Attention TV Talking Heads. Barack Obama and Bill Clinton are not liberals. The middle of the road is not the left!","political"
"214",1,"Socialism is nationalization of industry - bailouts = nationalization and back door to single payer = nationalization @moecephus","political"
"215",1,"I can understand how liberal Democrats feel about OBAMA forsaking their values, the same happened to conservative Republicans under BUSH.","political"
"216",1,"CIA Interrogation investigation - Liberal healthcare distraction, attempt to revive anti-Bush anti-Republican rhetoric, and just plain dumb","political"
"217",1,"Pt 1, Building Blocks of Socialism http://bit.ly/sE4Pj #tcot #libertarian #iamthemob #palin #sgp #grizzly #hhrs #tpp #tnmn #gop #fishy","political"
"218",1,"And the musical chairs approach to leadership is on display again in the Liberal Party. Who will be sitting when the music stops?","political"
"220",0,"wBlue: Josh on JJ and NFL Socialism - http://tinyurl.com/lstgnz","non-political"
"221",1,"RT @WayneMarr SSRN Political Liberalism, Islamic Family Law and Family Law Pluralism: Lessons from New York on Family... http://bit.ly/e95ke","political"
"222",1,"I don't want socialized medicine, and I don't want to live in a socialist country, screamed the woman on the .. http://bit.ly/xTf2Q","political"
"223",1,"[French Government to Charge Tourists Who Need Rescuing] How long before this becomes an ""I Hate Socialism"" Thread? http://blogged.com/r/1us","political"
"224",1,"Libertarian freedom activist forcibly hospitalized and drugged http://bit.ly/y5rwg","political"
"226",1,"Woman who said ""We are not feminists"" at Ã‰cole Polytechnique in 1989 says today, ""Of course I was a feminist"" http://bit.ly/5gQmMC #fem2","political"
"229",1,"Huckabee Revs Up Conservative Crowd - New York Times - http://tinyurl.com/yeb99kx","political"
"230",1,"Glad to hear that the Socialist bank bailout STARTED by George Bush and continued by Obama seems to have worked.","political"
"231",1,"The 8-point 'Goldman Socialist Manifesto' - FOXBusiness http://url4.eu/AqEX","political"
"232",1,"RT @glennbeck OLIGARH? Really? You are so predictable... don't miss the open. // He left out the 'C' for Communism.","political"
"234",1,"RT: @rodolfob: Data from the CIA Factbook. Comparing the ""BAD"" Communists:CUBA with the ""GOOD"" Capitalists: USA #Honduras","political"
"237",1,"Alert!: Some people are planning for a revolution in the USA. STOP this Marxist and communist trends.","political"
"238",1,"The Constitutional Side Of The Health Care Reform Bill http://bit.ly/7HYZQZ #conservative #hcr #iamthemob #gop","political"
"239",1,"Every once in a while, I can still be surprised. @yaronusa is an intelligent conservative who doesn't resort to insults to make a point.","political"
"240",1,"RT @ExurbanJon Sen. Boxer's ""Dress for Redress"": A conservative's guide to proper protest attire http://tinyurl.com/mxarku #tcot #obamacare","political"
"241",1,"RT: @stone_circle: Conservatives Battle Obama's Cult of Learning http://bit.ly/1XhC9j","political"
"242",0,"straga tudo, enterra tudo, pÃ¡ de cal enterra todos na vala comum de um discurso [neo]liberal~ http://3.ly/0ci","non-political"
"243",1,"Teehee, I love the Socialist Party, and their pathetic attempts to get me to buy their ickle newspaper.","political"
"244",1,"Why can't we change this? RT@feminismtoday Women in academia (especially) can't have it all #feminism http://bit.ly/1530HQ","political"
"245",1,"Most unheard of RT @alea_ Socialist US senator proposes most capitalist bill http://bit.ly/1BOqhq","political"
"246",0,"ags': preaching to the liberal choir: Washington Post ""When I was at Ralph, I was working on jean.. http://bit.ly/16GGE4","non-political"
"247",1,"@lizarddawg It's not advocating Socialism if your idea of single-payer is the patient paying 100% at time of service #PATMOS #HandsOff","political"
"248",0,"n archief van de anarchie is m.i. een contradictie RT @EricHennekam: Anarchism Web Archive http://webarchives.cdlib.org/a/Anarchism","non-political"
"249",1,"RT @tierneywigg http://tinyurl.com/klrona Thanks Daniel Hannan for making my choice of not voting @conservatives much easier! #welovetheNHS","political"
"250",1,"@MyrnaTheMinx That's it, just keep on repeating the Communist Party Line.Yes, you know better than anyone else what is best for everybody!","political"
"251",1,"says B.S. to that. Conservatives only want to make untold profits from human misery and suffering. HEALTH CARE FOR ALL OF US! GO!","political"
"252",1,"@JoeNBC Just imagining a 'moderate' Republican trying to run in a district that is not solidly GOP w/a conservative also in the race.","political"
"253",0,"ading John Reed's 10 Days That Shook the World no better way to welcome the new year than a celebration of socialist revolution","non-political"
"254",1,"http://bit.ly/SNRed Europeans Seem to Realize that Socialism Isn't the Solution -- By: Veronique de Rugy","political"
"255",0,"TM rocks...i remember I saw them for free in 2000 in LA...then got pepper sprayed by LAPD because they thought I was riotting/anarchist.","non-political"
"256",0,"sten to The Conservative Blues Show After Hour... on Tyranny Resistance anytime on BlogTalkRadio. http://tobtr.com/s/647096 #BlogTalkRadio","non-political"
"258",1,"Recommended @exposeliberals to @MrTweet '@exposeliberals great in exposing the liberals out there' http://bit.ly/VsoH5","political"
"259",0," @jamescowley Osborne, â€˜No one takes pleasure from people making money from misery of others but that's a function of capitalist markets'","non-political"
"260",1,"Progressive Conservatism: property-owning democracy http://tiny.cc/tV1r5","political"
"261",1,"Hey fellow #conservatives, please follow my good friend @choppergt750 He's a vet and all around good guy. #tcot #military","political"
"262",1,"I'm glad Glenn Beck disgusts and offends liberals on a very personal level. Liberals disgust me, they are ruining America #tcot #glennbeck","political"
"264",0,"ppy Father's Day to Fathers, Feminists and Slackers http://ow.ly/fiKb","non-political"
"265",1,"Socialists should oppose copyrights & the commodification of knowledge & culture as an obstacle to progress & creativity http://is.gd/2IjkZ","political"
"266",1,"My fear is that these conservatives making this fuss about the speech are robbing their kids of the right to form their own opinions.","political"
"267",1,"RT @SoccerSealUSA ""The Day I Met Sarah Palin...and the Liberal Media"" http://bit.ly/31Iv7N #tcot #ocra #sgp #goingrogue #spwbt #tycot","political"
"268",0," @huffingtonpost Steven Weber: Weather Declared ""Socialist"" http://retwt.me/fBen","non-political"
"269",1,"RT @pwire: GOP congressman says he wants to hunt liberal Democrats... http://pwire.us/F2 #p2","political"
"270",0,"rand-ing for the Edge. Am slave of capitalism. Can only hope my shopping green and thrift loosens the chains.","non-political"
"271",1,"RT @RockingtheRobin: RT @Racists should stop claiming to lead the Libertarian, Conservative, & Republican causes. They stand naked and ...","political"
"272",1,"@good4politics Would you call belief in a global communist conspiracy a philosophical prejudice?","political"
"275",1,"RT @ConservativeInd: Save the baby seals... club a liberal...bumper sticker my little bro saw in Alaska.. LOL.. #tcot #ocra #p2 #teaparty","political"
"276",1,"http://is.gd/218sh Evidence that feminist societies are bound to fail.","political"
"277",0,"etering just under 100 followers. PLEASE HELP! Need 2 replace: spammers, bots, and a couple conservatives w/ real #MMOT 'ers!","non-political"
"278",1,"The Big Hate: The rise of right-wing extremism is being systematically fed by the conservative media and politic.. http://tinyurl.com/mqc98l","political"
"279",1,"@stopbeck mayB Lexus has found out that it is mostly the conservatives are the 1's who drive and can afford their sticker price?","political"
"280",1,"I can't believe parents don't want their kids to hear Obama's speech about staying in school. No socialism or brainwashing, but staying ...","political"
"281",1,"I refuse to be a Socialist!! I had fun last night thanks Court! ... http://lnk.ms/3DZ1C","political"
"282",1,"Itâ€™s called â€œcommunism,â€ folks. http://bit.ly/RedFL","political"
"283",1,"Who will be Liberal Leader on Tuesday evening? http://twtpoll.com/mqy0c2 #twtpoll #spill","political"
"284",1,"report ComSymps RT @kimberlybryant @danieldelazion ""Communism doesn't work because people like to own stuff."" *","political"
"286",1,"Off to see the communists, then the nomads, the reformed...ish comunists and some of Europe too.","political"
"287",1,"@markos I beleive he really did think so BUT, he totally underestimated the racial blowback (cloaked in ""socialism & fascism"") factor. #hcr","political"
"288",1,"RT @jaketapper: ""an interesting look from @TheFix at Neb. Dem Sen. Ben Nelson's pushback to liberal group's attack Â» http://bit.ly/2fhCH""","political"
"289",1,"RT @crushtor: Whats the difference between sugar and the Liberal Party? The Libs can dissolve twice. #AUpolitics","political"
"290",1,"She and Justin Timberlake hurt my society DEEPLY, that liberals do not understand this is an inditement on liberals. Oh for fuck's sake.","political"
"291",1,"McCarthy wuz right? RT @bcrumpton this car in front of me has a sticker that says socialism sucks. hahaha.","political"
"292",1,"Millionaire Filmmaker Michael Moore: â€˜Capitalism Did Nothing For Meâ€™ I think He will hae a ""BIG ONE SOON!"" H1N1 #why Pepeng ...","political"
"294",1,"I have a list! RT @Revelation1217 Is America going to become Socialist? No - the U.S. has already adopted socialism: http://bit.ly/F1VK7","political"
"295",1,"@jonrb I might be a yellow dog liberal democrat lol but I do believe in morals and standards. I feel that we have to live above","political"
"296",1,"Where was Obama and the Socialists Democrats this week when the JOBLESS RATE increase by almost 8,000 new 'UNEMPLOYED'?","political"
"297",1,"Conservative Mobs? http://tinyurl.com/numuy3","political"
"299",1,"Love The PeoplesCube ! RT @douglasernstYLP: ThePeoplesCube--check it out. Funny conservative guys. http://thepeoplescube.com/","political"
"302",0,"nk Paulson, Venture Capitalist?: Hank Paulson tiptoed into the venture capital waters today.. http://bit.ly/bdxDU #vc (via@peHUB)","non-political"
"303",0,"ers89 Yeah, the reappropriation of the German aesthetic of the song for black/feminist/etc. USA revolution propaganda. Lots of material.","non-political"
